Image,MSE,PSNR
image1_noise_03_blur_05,49.035500616895966,8.206386675691789
image1_noise_05_blur_11,54.75238195005637,8.124839416145104
image1_noise_07_blur_17,59.09572529339971,8.170110168822212
image1_noise_09_blur_23,62.70601165950003,8.23009833528251
image1_noise_11_blur_29,65.22165521002731,8.31074159028899
image2_noise_03_blur_05,51.98190863862506,6.0800890991487595
image2_noise_05_blur_11,60.03556789914066,5.974780215630099
image2_noise_07_blur_17,65.70390236318408,6.014880165091211
image2_noise_09_blur_23,69.60232017671383,6.084249622352786
image2_noise_11_blur_29,72.95348844252761,6.135030345785265
image3_noise_03_blur_05,50.76130609129676,6.445931789298419
image3_noise_05_blur_11,58.97374127737934,6.314150155984373
image3_noise_07_blur_17,64.76042878141759,6.326102563197745
image3_noise_09_blur_23,68.48861920107255,6.383005119358375
image3_noise_11_blur_29,71.35383754926666,6.443378949584908
image4_noise_03_blur_05,51.36474688247076,4.636014434115224
image4_noise_05_blur_11,60.717342669768044,4.51009375995526
image4_noise_07_blur_17,67.2729948068101,4.53386660404713
image4_noise_09_blur_23,72.09901385927505,4.591977463298774
image4_noise_11_blur_29,76.03172954222394,4.6608113416143375
