Image,PSNR of Corrupted Image,PSNR of Denoised Image
image1_noise_03_blur_05,9.040603007905734,15.162193005162294
image1_noise_05_blur_11,8.433514688690137,14.113833791570663
image1_noise_07_blur_17,8.185878082966806,13.62235729475945
image1_noise_09_blur_23,8.032232951318846,13.287484452965796
image1_noise_11_blur_29,7.9351323357769035,13.053590215413141
image2_noise_03_blur_05,6.956838368703082,12.656215261442993
image2_noise_05_blur_11,6.361934652745823,11.571033965283892
image2_noise_07_blur_17,6.121967179385539,11.077882091867558
image2_noise_09_blur_23,5.987456875536655,10.777566871964693
image2_noise_11_blur_29,5.892901410809409,10.545412602571428
image3_noise_03_blur_05,7.40051259000869,13.778849477851757
image3_noise_05_blur_11,6.834121192427563,12.699509464837233
image3_noise_07_blur_17,6.608012655397994,12.224561559377236
image3_noise_09_blur_23,6.497503636431362,11.959845958938677
image3_noise_11_blur_29,6.410956086685168,11.73821978775947
image4_noise_03_blur_05,5.536973060032957,10.995106859810253
image4_noise_05_blur_11,4.948614346754974,9.92945708268708
image4_noise_07_blur_17,4.731409702375353,9.492213857389869
image4_noise_09_blur_23,4.617748396872227,9.242064347265668
image4_noise_11_blur_29,4.558332461767673,9.078822498895423
